trial_id,resilience_profile,chaos_scenario,trial_num,started_at_utc,ended_at_utc,status,error_message,gatling_request_count,gatling_ok_count,gatling_ko_count,gatling_error_rate,gatling_p50_ms,gatling_p95_ms,gatling_p99_ms,gatling_mean_response_ms,gatling_mean_requests_per_sec,prometheus_error_rate,peak_process_cpu_usage,peak_jvm_heap_used_bytes,cb_recovery_time_seconds,cb_was_open_during_trial,gatling_report_dir
retry__cascading_failure__17,retry,cascading_failure,17,2026-07-08T17:39:23.147473+00:00,2026-07-08T17:45:36.089727+00:00,ok,,786.0,786.0,0.0,0.0,21768.0,22972.0,24526.0,20719.0,2.23,,0.0255754475703324,216006656.0,0.0052936249994672,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708173942321
retry__cascading_failure__18,retry,cascading_failure,18,2026-07-08T17:45:46.101811+00:00,2026-07-08T17:51:53.443593+00:00,ok,,788.0,788.0,0.0,0.0,21847.0,23426.0,25824.0,20703.0,2.23,,0.0180405913304936,212860928.0,0.0061849170015193,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708174600239
retry__cascading_failure__19,retry,cascading_failure,19,2026-07-08T17:52:03.456398+00:00,2026-07-08T17:58:10.736400+00:00,ok,,793.0,793.0,0.0,0.0,21724.0,23125.0,24523.0,20566.0,2.25,,0.0147021546261089,216006656.0,0.0129472499829716,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708175217434
retry__cascading_failure__20,retry,cascading_failure,20,2026-07-08T17:58:20.748694+00:00,2026-07-08T18:04:30.496583+00:00,ok,,792.0,791.0,1.0,0.0012626262626262,21648.0,23140.0,24618.0,20560.0,2.25,,0.0442142496210207,213909504.0,0.0165154580026865,False,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708175837864
combined__service_termination__01,combined,service_termination,1,2026-07-08T18:33:23.138428+00:00,2026-07-08T18:39:27.128133+00:00,ok,,1978.0,0.0,1978.0,1.0,7734.0,9693.0,12632.0,8066.0,5.85,,0.0852200457898753,60817408.0,20.201141583005665,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708183328219
combined__service_termination__02,combined,service_termination,2,2026-07-08T18:39:37.143265+00:00,2026-07-08T18:45:41.769382+00:00,ok,,1973.0,0.0,1973.0,1.0,7707.0,9646.0,12576.0,8068.0,5.85,,0.0572687224669603,66060288.0,18.463006375008263,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708183945263
combined__service_termination__03,combined,service_termination,3,2026-07-08T18:45:51.775886+00:00,2026-07-08T18:51:49.912603+00:00,ok,,2002.0,0.0,2002.0,1.0,7687.0,9472.0,12549.0,7956.0,5.94,,0.0616282018767435,65011712.0,16.006881082983455,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708184556037
combined__service_termination__04,combined,service_termination,4,2026-07-08T18:51:59.923877+00:00,2026-07-08T18:58:00.936422+00:00,ok,,1998.0,0.0,1998.0,1.0,7659.0,9528.0,12556.0,7985.0,5.91,,0.0513278855975485,65011712.0,18.4301214159932,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708185203781
combined__service_termination__05,combined,service_termination,5,2026-07-08T18:58:10.945082+00:00,2026-07-08T19:04:16.353331+00:00,ok,,1949.0,0.0,1949.0,1.0,7754.0,10489.0,12554.0,8192.0,5.77,,0.0423707440100882,67108864.0,18.127819666988216,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708185819119
combined__service_termination__06,combined,service_termination,6,2026-07-08T19:04:26.367979+00:00,2026-07-08T19:10:26.614028+00:00,ok,,2005.0,0.0,2005.0,1.0,7669.0,9260.0,12553.0,7954.0,5.93,,0.0366069174450896,67108864.0,13.928439874987816,True,/Users/pavan-work/Desktop/projects/dissertation-chaos/gatling/target/gatling/ordersimulation-20260708190434254
